Product_Title,Price,Shop,Category_Id
COLORFUL GT710 2GD3 2GB GDDR3 GRAPHICS CARD,3800.00,DOLPHIN COMPUTERS,1
GIGABYTE GEFORCE RTX 2060 WINDFORCE OC 6G 6GB DDR6 GRAPHICS CARD #GA-N2060WF2OC-6GD,38000.00,DOLPHIN COMPUTERS,1
GIGABYTE GEFORCE RTX 2060 OC 6GB GDDR6 GRAPHICS CARD #GV-N2060OC-6GD,37200.00,DOLPHIN COMPUTERS,1
GIGABYTE NVIDIA GEFORCE GT 710 2GB DDR3 GRAPHICS CARD #GV-N710D3-2GL,5200.00,DOLPHIN COMPUTERS,1
MSI GT 710-2GD3H LP 2GB DDR3 GRAPHICS CARD,4500.00,DOLPHIN COMPUTERS,1
GIGABYTE NVIDIA GEFORCE GT 1030 OC 2GB DDR5 GRAPHICS CARD,8500.00,DOLPHIN COMPUTERS,1
ASUS GT 710 2GB DDR3 GRAPHICS CARD,4800.00,DOLPHIN COMPUTERS,1
ASROCK PHANTOM GAMING X RADEON RX590 8G OC GRAPHICS CARD,23500.00,DOLPHIN COMPUTERS,1
GIGABYTE GTX 1050 TI OC 4GB DDR5 GRAPHICS CARD,17500.00,DOLPHIN COMPUTERS,1
ZOTAC GAMING GEFORCE RTX 2060 TWIN FAN 6GB GRAPHICS CARD, 38000,BD STALL,1
XFX AMD RADEON RX 570 RS XXX EDITION 8GB GRAPHICS CARD, 15500,BD STALL,1
GIGABYTE GEFORCE 1030 2GB DDR5 LOW PROFILE GRAPHICS CARD, 8400,BD STALL,1
AFOX NVIDIA GEFORCE G210 1GB DDR3 DESKTOP GRAPHICS CARD, 2700,BD STALL,1
ASUS EXPEDITION GEFORCE GTX 1050 TI 4GB GDDR5 GRAPHICS CARD, 17999,BD STALL,1
MSI GEFORCE GTX 1660 TI GAMING X 6GB GDDR6 GRAPHICS CARD, 33500,BD STALL,1
MSI RADEON RX 570 4GB GDDR5 GRAPHICS CARD, 13100,BD STALL,1
VIEW ONE NVIDIA GEFORCE GT 710 DDR3 1GB GRAPHICS CARD, 2600,BD STALL,1
GIGABYTE GEFORCE GTX 1050 TI G1 GAMING 4GB DDR5 GRAPHICS CARD, 9800,BD STALL,1
MSI ARMOR GEFORCE GTX 1070 8GB GDDR5 GAMING GRAPHICS CARD, 26000,BD STALL,1
ASUS NVIDIA GEFORCE GT 1030 2GB GDDR5 GRAPHICS CARD, 8500,BD STALL,1
GIGABYTE GEFORCE RTX 2080 WINDFORCE OC 8G GDDR6 GRAPHICS, 78000,BD STALL,1
GIGABYTE NVIDIA GEFORCE GT 710 2GB DDR5 GRAPHICS CARD, 5400,BD STALL,1
ASUS PHOENIX GEFORCE GTX 1050 3GB GDDR5 GRAPHICS CARD, 15800,BD STALL,1
GIGABYTE NVIDIA GEFORCE GT 1030 2GB GRAPHICS CARD, 8000,BD STALL,1
ASUS ROG STRIX RX-580 8GB GDDR5 PCI 3.0 GAMING GRAPHICS CARD, 25500,BD STALL,1
ASUS NVIDIA GEFORCE GT 710 2GB DDR5 GRAPHICS CARD, 6200,BD STALL,1
COLORFUL IGAME GEFORCE GTX 1050TI VULCAN U 4G EC VIDEO CARD, 15500,BD STALL,1
ASUS DUAL SERIES RADEON RX 580 OC 8GB GDDR5 GRAPHICS CARD, 26000,BD STALL,1
GIGABYTE GEFORCE GTX 1050 TI G1 GAMING 4GB VIDEO CARD, 17900,BD STALL,1
ASUS ROG STRIX GEFORCE RTX 2080 OC EDITION 8GB GDDR6 GRAPHICS CARD,91500,STARTECH,1
ASUS TUF GAMING X3 GEFORCE GTX 1660 ADVANCED EDITION 6GB GDDR5 GRAPHICS CARD,27800,STARTECH,1
ASUS TUF GAMING X3 RADEON RX 5700 XT OC 8GB GRAPHICS CARD,48300,STARTECH,1
COOLER MASTER UNIVERSAL VGA HOLDER FOR ALL SIZE TOWER CHASSIS,1300,STARTECH,1
GALAX GEFORCE GT 1030 EXOC WHITE 2GB GDDR5 GRAPHICS CARD,8000,STARTECH,1
GIGABYTE GEFORCE RTX 2060 SUPER WINDFORCE OC 8GB GRAPHICS CARD,42500,STARTECH,1
GIGABYTE GT 1030 2GB OC GRAPHICS CARD,8000,STARTECH,1
SAPPHIRE PULSE RADEON RX 570 4GB GDDR5 HDMI DP GRAPHICS CARD,13100,STARTECH,1
SAPPHIRE PULSE RADEON RX 570 8GB GDDR5 GRAPHICS CARD,16200,STARTECH,1
SAPPHIRE PULSE RADEON RX 580 8GB GRAPHICS CARD,20300,STARTECH,1
XFX AMD RADEON RX 570 RS 8GB XXX EDITION GRAPHICS CARD,15800,STARTECH,1
XFX RADEON RX 5700 XT THICC II ULTRA 8GB GDDR6 GRAPHICS CARD,43000,STARTECH,1
ZOTAC GEFORCE GT 710 2GB DDR3 GRAPHICS CARD,4200,STARTECH,1
GALAX GEFORCE GTX 1650 EX (1-CLICK OC) 4GB GDDR5 GRAPHICS CARD,15000,STARTECH,1
SAPPHIRE NITRO+ RX 570 8G GDDR5 GRAPHICS CARD,18800,STARTECH,1
XFX AMD RADEON RX 5700 DD ULTRA 8GB GDDR6 GRAPHICS CARD,36000,STARTECH,1
ZOTAC GEFORCE GT 1030 LOW PROFILE 2GB GDDR5 GRAPHICS CARD,8000,STARTECH,1
GALAX GEFORCE GTX 1060 OC 3GB GDDR5 GRAPHICS CARD,19000,STARTECH,1
GIGABYTE GEFORCE GTX 1650 OC 4GB GRAPHICS CARD,17200,STARTECH,1
SAPPHIRE NITRO+RADEON RX 570 OC 8GB GDDR5 GRAPHICS CARD,19000,STARTECH,1
XFX AMD RADEON RX 5700 XT THICC II ULTRA 8GB GDDR6 GRAPHICS CARD,41500,STARTECH,1
GIGABYTE GT 710 1GB DDR5 GRAPHICS CARD, 3800,COMPUTER VILLAGE,1
GIGABYTE GT 710 2GB DDR3 GRAPHICS CARD, 4500,COMPUTER VILLAGE,1
ZOTAC GEFORCE GT 710 2GB DDR3 GRAPHICS CARD, 4350,COMPUTER VILLAGE,1
ZOTAC GEFORCE GT 710 2GB ZONE EDITION, 4350,COMPUTER VILLAGE,1
SAPPHIRE R5 230 2GB DDR3 GRAPHICS CARD, 4400,COMPUTER VILLAGE,1
ZOTAC GEFORCE GT 730 2GB DDR5 GRAPHICS CARD, 5800,COMPUTER VILLAGE,1
