Product_Title,Price,Shop,Category_Id
GIGABYTE GT 710 1GB DDR5 GRAPHICS CARD, 3800,COMPUTER VILLAGE,1
GIGABYTE GT 710 2GB DDR3 GRAPHICS CARD, 4500,COMPUTER VILLAGE,1
ZOTAC GEFORCE GT 710 2GB DDR3 GRAPHICS CARD, 4350,COMPUTER VILLAGE,1
ZOTAC GEFORCE GT 710 2GB ZONE EDITION, 4350,COMPUTER VILLAGE,1
SAPPHIRE R5 230 2GB DDR3 GRAPHICS CARD, 4400,COMPUTER VILLAGE,1
ZOTAC GEFORCE GT 730 2GB DDR5 GRAPHICS CARD, 5800,COMPUTER VILLAGE,1
SAPPHIRE R7 240 1GB DDR5 GRAPHICS CARD, 5500,COMPUTER VILLAGE,1
ASUS GT 710-2-SL 2GB DDR5 GRAPHICS CARD, 6050,COMPUTER VILLAGE,1
GIGABYTE NVIDIA GEFORCE GT 1030 OC 2GB DDR5 GRAPHICS CARD, 8400,COMPUTER VILLAGE,1
ZOTAC GEFORCE GT 1030 2GB DDR5 GRAPHICS CARD, 8200,COMPUTER VILLAGE,1
ASUS GEFORCE GT 1030 2GB GDDR5 LOW PROFILE GRAPHICS CARD, 8900,COMPUTER VILLAGE,1
ASUS PH-GT1030-O2G 2GB DDR5 GRAPHICS CARD, 9000,COMPUTER VILLAGE,1
GIGABYTE RADEON RX 550 2GB DDR5 GRAPHICS CARD, 9600,COMPUTER VILLAGE,1
SAPPHIRE PULSE RADEON RX 550 2GB GDDR5 GRAPHICS CARD, 10000,COMPUTER VILLAGE,1
SAPPHIRE PULSE RADEON RX 550 4GB GDDR5 GRAPHICS CARD, 12000,COMPUTER VILLAGE,1
MSI RADEON RX 570 ARMOR 4G OC 4GB GDDR5 GRAPHICS CARD, 13200,COMPUTER VILLAGE,1
ASUS RADEON RX 550 4GB GDDR5 GRAPHICS CARD, 14000,COMPUTER VILLAGE,1
ZOTAC GAMING GEFORCE GTX 1650 OC GRAPHICS CARD, 14500,COMPUTER VILLAGE,1
ASUS PH-GTX1050-3GB GRAPHICS CARD, 15500,COMPUTER VILLAGE,1
GIGABYTE RADEON RX 570 GAMING 8GB DDR5 MI GRAPHICS CARD, 16500,COMPUTER VILLAGE,1
