Product_Title,Price
A4 TECH 3000N V-TRACK 2.4G Wireless Keyboard,1,250৳ 
A4 Tech Bloody B125 Illuminate Water-Resistant Backlit Gaming Keyboard,1,990৳ 
A4 TECH Bloody B188 | Light Strike Keys Gaming Keyboard - Light Strike innovated Fastest Key Response Keyboard,2,500৳ 
A4 TECH Bloody B328 Light Strike Gaming Keyboard,2,600৳ 
A4 TECH Bloody B760 FULL LIGHT STRIKE GAMING KEYBOARD,3,750৳ 
A4 Tech Bloody B820R LIGHT STRIKE RGB ANIMATION GAMING KEYBOARD,5,000৳ 
A4 Tech Bloody Mechanical Gaming Keyboard b810r RGB Animation Light Strike,5,000৳ 
A4 TECH KLS-5 USB Slim Multimedia Keyboard,650৳ 
A4 Tech KR-83 USB Keyboard,600৳ 
A4 Tech KR-85 Comfort Rounded Edge Keycaps Keyboard,600৳ 
A4TECH Bloody B120 Gaming Keyboard,2,200৳ 
A4Tech Bloody B130 Turbo Illuminating Gaming Keyboard,2,200৳ 
A4tech Bloody B1500 Combo Set keyboard,2,900৳ 
A4Tech Bloody B180R RGB Gaming Keyboard,2,700৳ 
A4Tech Bloody B2100 Blazing Gaming Keyboard and Mouse,2,999৳ 
A4tech KB-8A Smart Key Keyboard,800৳ 
ASUS Cerberus Mech RGB mechanical gaming keyboard,7,800৳ 
Asus ROG Claymore Cherry MX Switch Mechanical Gaming Keyboard,17,500৳ 
ASUS ROG Strix Flare RGB Cherry MX switches mechanical gaming keyboard,13,300৳ 
Asus Rog Strix Scope Deluxe Cherry Mx RGB Mechanical Gaming Keyboard,11,999৳ 
ASUS TUF Gaming K7 Optical-Mech Keyboard,8,700৳ 
BENQ ZOWIE CELERITAS II (US) KEYBOARD GAMING GEAR,11,200৳ 
Cooler Master CK350 RGB Mechanical Gaming Keyboard,5,800৳ 
Cooler Master CK550 Backlit Mechanical Gaming Keyboard (Blue Switch),6,500৳ 
COOLER MASTER MasterKeys Lite L RGB Combo,4,500৳ 
Corsair Gaming K70 LUX RGB Mechanical Backlit LED Gaming Keyboard,14,000৳ 
Corsair K68 RGB Mechanical Cherry MX Red Gaming Keyboard,7,500৳ 
Corsair K70 RGB Cherry MX SPEED Mechanical Gaming Keyboard,14,200৳ 
Corsair K70 RGB MK.2 CHERRY MX Red Switch Mechanical Gaming Keyboard,14,900৳ 
Corsair K70 RGB MK.2 Low Profile RAPIDFIRE Mechanical Gaming Keyboard CHERRY MX Low Profile Speed,15,000৳ 
CORSAIR K70 RGB MK.2 Mechanical Gaming Keyboard CHERRY MX Red,14,999৳ 
CORSAIR K70 RGB MK.2 RAPIDFIRE Mechanical Gaming Keyboard CHERRY MX Speed,15,300৳ 
Corsair K95 RGB PLATINUM Mechanical Gaming Keyboard (CHERRY MX Speed),16,800৳ 
Corsair K95 RGB PLATINUM Mechanical Gaming Keyboard (CHERRY MX Speed) -Gunmetal,16,800৳ 
Cougar 450K Hybrid Mechanical Gaming Keyboard,0000
COUGAR 700K Mechanical Gaming Keyboard,9,600৳ 
Cougar Attack X3 RGB Gaming Keyboard,8,600৳ 
Cougar Attack X3 RGB Speedy Mechanical Gaming Keyboard,9,200৳ 
Cougar Deathfire EX Gaming Hybrid Mechanical Keyboard & Mice Combo,3,900৳ 
COUGAR Puri Backlit Mechanical Gaming Keyboard (Cherry MX Mechanical),6,200৳ 
COUGAR PURI RGB MECHANICAL GAMING KEYBOARD,6,200৳ 
Cougar PURI TKL Mechanical Gaming Keyboard ( Cherry MX Mechanical ),5,400৳ 
COUGAR PURI TKL RGB MECHANICAL GAMING KEYBOARD,5,800৳ 
Cougar ULTIMUS RGB Mechanical Gaming Keyboard,6,150৳ 
Dell AW568 Alienware Advanced Gaming Keyboard,6,800৳ 
Dell KM717 Premier Wireless Gaming Keyboard and Mouse Combo,8,200৳ 
Dell | Wired Standard Keyboard KB216,499৳ 
Delux KM02 Mechanical Gaming Keyboard,4,700৳ 
FANTECH ARCHER K512 RGB Waterproof Ergonomic 35Keys One-Hand Gaming Keyboard,1,600৳ 
FANTECH FIGHTER K611L Backlit Gaming Keyboard,1,600৳ 
Fantech FTK-801 23 Keys USB Numeric Keypad,500৳ 
Fantech k511 Hunter Pro Backlit Gaming Keyboard,1,000৳ 
Fantech K610 RGB Backlit Gaming Keyboard,1,599৳ 
FANTECH K611 FIGHTER GAMING KEYBOARD,1,400৳ 
Fantech K612 SOLDIER Illuminated RGB Backlight Gaming Keyboard 104 Keys Best Selling Bangladesh,2,100৳ 
Fantech K613 Professional Usb Game Backlit Keyboard 87-Key Wired Game Keyboard,1,500৳ 
Fantech K613L Fighter Professional Usb Gaming Keyboard,1,600৳ 
FANTECH KX-302 Major Gaming Keyboard and Mouse Combo,2,250৳ 
FANTECH Max Pro MK851 RGB Mechanical Switch Keyboard,6,500৳ 
Fantech MK-883 RGB Mechanical Keyboard,4,999৳ 
FANTECH MK871 RGB Phantheon Mechanical Gaming Keyboard,3,900৳ 
Fantech MK872 RGB Optilite Tournament Edition RGB Optical Switch Keyboard,5,150৳ 
Fantech MK882 Mechanical Keyboard,5,499৳ 
Fantech MK884RGB Optiluxs Full Size RGB Optical Switch Keyboard,5,800৳ 
Fantech MK885RGB Optimax Full Size Edition RGB Optical Switch Keyboard,5,000৳ 
Fantech MVP 862 COMMANDER Macro RGB keyboard Mouse Combo,5,490৳ 
FANTECH MVP861 COMMANDER Mechanical Keyboard Mouse Combo,4,600৳ 
Fantech PANTHEON MK881RGB Blue Switch Clicky Keys RGB Mechanical Gaming Keyboard,4,500৳ 
Fantech SERGEANT KX301 Gaming Keyboard & Mouse Combo,1,800৳ 
Gamdias ARES 7 Color ESSENTICAL Combo with Optical Gaming Mouse (GKC6001),2,250৳ 
Gamdias Ares P1 RGB Gaming Keyboard,2,500৳ 
GAMDIAS GKB3000 Hermes 7 Color Backlit RGB Gaming Keyboard,4,600৳ 
GAMDIAS GKB3000 HERMES 7 Color Backlit RGB Gaming Mechanical Keyboard,4,600৳ 
Gamdias GKC 6000 Membrane Keyboard with Mouse Combo,1,950৳ 
GAMDIAS GKC1002 HERMES LITE MECHANICAL Keyboard with Mouse COMBO,4,200৳ 
Gamdias GKC6000 ARES ESSENTIAL Keyboard Mouse Gaming Combo,1,950৳ 
Gamdias GKC6011 Ares 7 Color Backlit RGB Membrane Gaming Combo Keyboard,2,750৳ 
GAMDIAS HERMES E1 Gaming Keyboard Demeter E2 Optical Mouse and NYX E1 Mouse Mat Combo,4,250৳ 
GAMDIAS Hermes M1 7 Color Mechanical Gaming Keyboard,3,500৳ 
GAMDIAS HERMES P1 RGB Mechanical Gaming Keyboard,6,650৳ 
Gamdias HERMES P2 RGB Gaming Keyboard,5,000৳ 
Gamdias Poseidon E1 Gaming Keyboard Mouse and Headset Combo,2,700৳ 
GAMDIAS Poseidon M1 Gaming Combo Ares M1 Membrane Keyboard with Zeus E2 optical Mouse and Eros E1 Headset,3,300৳ 
Genius GX Imperator Gaming Keyboard,3,350৳ 
Genius KB-110 USB Basic Keyboard,550৳ 
Genius KB-8000X Wireless Multimedia Keyboard & Mouse,1,250৳ 
Genius KB-G265 Backlit Anti-Ghosting Gaming Keyboard,2,900৳ 
Genius SlimStar i222 Ultra Slim USB Multimedia Keyboard,700৳ 
GIGABYTE AORUS K7 Cherry MX Mechanical Gaming Key-switch RGB Gaming Keyboard,0000
Gigabyte AORUS K9 RGB Optical Mechanical Gaming Keyboard,8,500৳ 
GIGABYTE Force K83 CHERRY MX Mechanical Key-Switch Gaming Keyboard,0000
GIGABYTE FORCE K85 RGB MECHANICAL GAMING KEYBOARD,4,500৳ 
GIGABYTE GK-KM6150 Keyboard and Mouse combo,800৳ 
GIGABYTE | K-85 Gaming Mechanical Keyboard,6,100৳ 
Gigabyte | KM5300 Combo Keyboard & Mouse,1,380৳ 
HAVIT HV-KB653GCM WIRELESS KEYBOARD AND MOUSE,1,150৳ 
HP C2500 Combo Wired Keyboard & Mouse,1,150৳ 
HP K1500 Wired Keyboard,700৳ 
HP K2500 Wireless Keyboard,0000
HP K4000 Bluetooth Keyboard for PC/Tablet/Smartphone,2,100৳ 
KWG DRACO M1 RGB Mechanical Gaming Keyboard,3,700৳ 
Logitec G613 Wireless Mechanical Gaming Keyboard,9,000৳ 
Logitech G100S USB Wired Gaming Combo,2,800৳ 
Logitech G213 Prodigy RGB Gaming Keyboard,5,500৳ 
Logitech G310 | Mechanical Gaming Keyboard,11,000৳ 
Logitech G413 Mechanical Gaming Keyboard,9,500৳ 
Logitech G512 Carbon Rgb Mechanical Gaming Keyboard,10,990৳ 
Logitech G613 Wireless Mechanical Gaming Keyboard,8,990৳ 
Logitech K120 USB Keyboard,620৳ 
Logitech K375S Multi-Device Wireless Keyboard and Stand Combo,2,600৳ 
Logitech K380 Bluetooth Multi-Device Keyboard,2,890৳ 
Logitech Keyboard K400 Wireless Touch,2,900৳ 
Logitech MK220 Combo USB Wireless Keyboard,1,750৳ 
Logitech MK235 Wireless Keyboard and Mouse Combo,2,000৳ 
Logitech MK240 NANO Mouse and Keyboard Combo,2,500৳ 
Logitech mk260r Wireless Keyboard Mouse Combo - Black,2,100৳ 
Logitech Wireless Combo MK275 with Keyboard and Mouse,2,200৳ 
Logitech Wireless Combo MK345 with Full-Size Keyboard and Right-Handed Mouse,3,500৳ 
MotoSpeed  (CK107) Side Laser Wired Mechanical RGB Keyboard,3,700৳ 
Motospeed CK108 Switches Backlit Satisfy RGB Mechanical Gaming Keyboard,5,000৳ 
Motospeed CK61 RGB mechanical game keyboard,4,000৳ 
Motospeed CK666 NKRO Optical Mechanical RGB Gaming Keyboard Mouse Combo,4,800৳ 
MotoSpeed CK95 Wired Red switch Mechanical Gaming Keyboard,2,700৳ 
MotoSpeed G4000 Wireless Combo Keyboard Mouse Combo,1,500৳ 
MotoSpeed G7000 Wireless Keyboard Mouse Combo,1,300৳ 
Motospeed K11 backlight Gaming Keyboard,2,400৳ 
MotoSpeed K84 (CK104) Wired Mechanical RGB Black Keyboard,4,100৳ 
Motospeed K96 (CK107) Side Engraved Keycaps USB Wired Mechanical Gaming Keyboard,3,900৳ 
MSI INTERCEPTOR DS4100 GAMING KEYBOARD,1,600৳ 
MSI VIGOR GK30 RGB GAMING KEYBOARD,3,500৳ 
Rapoo 8000P Wireless Mouse & Keyboard Combo,1,700৳ 
Rapoo 8100 M Multi-mode Wireless Keyboard Mouse Combo,2,000৳ 
Rapoo 8200M Multi-mode Wireless Keyboard & Mouse,2,425৳ 
Rapoo 9060M Multi-mode Wireless Keyboard & Mouse,2,800৳ 
Rapoo E1050 Anti-Splash 2.4G Wireless Keyboard,799৳ 
Rapoo E1050 Wireless Keyboard,850৳ 
Rapoo E2710 Wireless Multimedia Touch Keyboard,3,800৳ 
Rapoo E9080 Wireless Touchpad Keyboard,3,690৳ 
Rapoo E9180P Ultra-Slim Wireless Keyboard With Smart Touch Control,3,699৳ 
Rapoo E9270P Wireless Ultra-Slim Keyboard,4,000৳ 
Rapoo Gaming VPRO V110S Combo Keyboard,2,500৳ 
Rapoo K2600 Wireless Touch Keyboard,1,999৳ 
Rapoo MT500 Backlit Mechanical Keyboard,4,000৳ 
Rapoo MT700 Backlit Mechanical Keyboard,6,100৳ 
Rapoo N1820 Wired Optical Mouse & Keyboard Combo,745৳ 
Rapoo N2500 Wired KEYBOARD,460৳ 
Rapoo NK1700 wired usb 2.0 keyboard,510৳ 
Rapoo NK2500 Wired Keyboard,550৳ 
Rapoo V110 Backlit Gaming Keyboard & Optical Gaming Mouse Gaming Combo,2,400৳ 
Rapoo V500 TKL RGB Backlit Mechanical Gaming Keyboard,3,600৳ 
Rapoo V500RGB Backlit Mechanical Gaming Keyboard (2018),4,300৳ 
Rapoo V500S Ice crystal Backlit Mechanical Gaming Keyboard,2,700৳ 
Rapoo V510 VPRO Backlit mechanical gaming keyboard,3,700৳ 
Rapoo V52 Backlit gaming keyboard,1,850৳ 
Rapoo V550RGB Backlit Mechanical Gaming Keyboard,2,650৳ 
Rapoo V56 Backlit Gaming Keyboard,2,100৳ 
Rapoo V560 Metal cover Backlit Mechanical Gaming Keyboard,3,200৳ 
Rapoo V580 Backlit Mechanical Gaming Keyboard,3,600৳ 
Rapoo V720 Full color RGB backlight game mechanical keyboard,6,699৳ 
Rapoo V805 Backlit Mechanical Gaming Keyboard,7,500৳ 
Rapoo V810 Mechanical Gaming Keyboard,8,300৳ 
Rapoo X1800 Wireless Bangla Keyboard & Mouse,1,350৳ 
Rapoo X1900 Wireless Optical Keyboard-Mouse Combo,1,400৳ 
Rapoo X8100 Wireless Multi-media Keyboard & Optical Mouse Combo,2,000৳ 
Rapoo X8210 Wireless Mouse & Keyboard Combo,2,250৳ 
Rapoo | 1830 Wireless Optical Mouse & Keyboard Combo,1,850৳ 
Rapoo | 8200P 5G Multimedia Programmable Wireless Keyboard and Mouse Combo,1,950৳ 
Rapoo | Wireless 8000 Mini Mouse & Keyboard Combo,1,460৳ 
