Product_Title,Price
CORSAIR GLAIVE RGB PRO Gaming Mouse (Aluminum),6,300৳ 
GIGABYTE AORUS M2 6200 DPI Optical RGB Gaming Mouse,1,400৳ 
KWG ORION M1 Optical Gaming Mouse,1,200৳ 
KWG ORION P1 Optical Gaming Mouse,1,600৳ 
Razer Viper Ambidextrous Wired Gaming Mouse,6,500৳ 
Cooler Master CM310 RGB Gaming Mouse,2,500৳ 
Motospeed CK666 NKRO Optical Mechanical RGB Gaming Keyboard Mouse Combo,4,800৳ 
Cooler Master MM710 Gaming Mouse,0৳ 
MSI Clutch GM11 RGB Gaming Mouse,2,200৳ 
COUGAR REVENGER ST Gaming Mouse,2,000৳ 
SteelSeries Rival 710 RGB Gaming Mouse,10,000৳ 
Xiaomi Mi Wireless 1200DPI Mouse -Black,0000
COUGAR Revenger 12,000 dpi 6 Buttons 1000 Hz Polling Gaming Mouse,3,350৳ 
COUGAR Revenger S 12,000 dpi 6 Buttons 2000 Hz Polling Gaming Mouse,3,300৳ 
A4tech FG10 Fstyler Wireless Mouse,600৳ 
Lenovo Wireless Yoga Gold Mouse,5,500৳ 
Lenovo Legion M200 RGB Gaming Mouse,2,400৳ 
Lenovo Y Gaming Precision Mouse,3,500৳ 
CORSAIR IRONCLAW RGB FPS And MOBA Gaming Mouse,5,900৳ 
Corsair IRONCLAW RGB WIRELESS Gaming Mouse,7,500৳ 
CORSAIR GLAIVE RGB PRO Gaming Mouse (Black),6,300৳ 
Logitech G502 HERO High Performance RGB Gaming Mouse,8,000৳ 
FANTECH KX-302 Major Gaming Keyboard and Mouse Combo,2,250৳ 
Logitech G300s Optical Ambidextrous Gaming Mouse,2,800৳ 
Razer Naga Trinity - Multi-color Wired MMO Gaming Mouse,8,800৳ 
Logitech G Pro Wired USB Gaming Mouse,9,500৳ 
MotoSpeed V70 3360 12000 DPI Wired RGB Gaming Mouse,2,500৳ 
MotoSpeed V70 3320 5000 DPI Wired RGB Gaming Mouse,1,800৳ 
Motospeed V30 4000 DPI 6 Buttons RGB Wired Gaming Mouse,1,500৳ 
MotoSpeed V100 Dual Sensor 6200DPI RGB Optical Gaming Mouse,2,200৳ 
MotoSpeed G370 2.4G Fashion Wireless Optical Mouse,500৳ 
