Product_Title,Price,Shop_Name,URL,Image_Url,Product_Code,Category_Id
SAMSUNG S24F350FHW 23.5 INCH LED MONITOR, 15100,COMPUTER VILLAGE,https://www.village-bd.com/samsung-s24f350fhw-23-5-inch-led-monitor,https://www.village-bd.com/uploads/product/list/samsung-s24f350fhw-23-5-inch-led-monitor.jpg,1,1
LG 19M38A 18.5 INCH LED MONITOR, 5999,COMPUTER VILLAGE,https://www.village-bd.com/lg-19m38a-18-5-inch-led-monitor,https://www.village-bd.com/uploads/product/list/lg-19m38a-185-inch-led-monitor-1567419882.jpg,1,1
ACER R252E 14.5 INCHE MONITOR,0,COMPUTER VILLAGE,https://www.village-bd.com/acer-r252e-14-5-inche-monitor,https://www.village-bd.com/uploads/product/list/Acer E1900HQ–18.5 Inch LED Monitor.jpg,1,1
ASUS PROART DISPLAY PA329C 4K HDR PROFESSIONAL MONITOR,0,COMPUTER VILLAGE,https://www.village-bd.com/asus-proart-display-pa329c-4k-hdr-professional-monitor,https://www.village-bd.com/uploads/product/list/asus-proart-display-pa329c-4k-hdr-professional-monitor-1581397316.jpg,1,1
ASUS DESIGNO CURVE MX32VQ CURVED MONITOR,0,COMPUTER VILLAGE,https://www.village-bd.com/asus-designo-curve-mx32vq-curved-monitor,https://www.village-bd.com/uploads/product/list/asus-designo-curve-mx32vq-curved-monitor-1581410549.jpg,1,1
ASUS DESIGNO MX27UC EYE CARE MONITOR,0,COMPUTER VILLAGE,https://www.village-bd.com/asus-designo-mx27uc-eye-care-monitor,https://www.village-bd.com/uploads/product/list/asus-designo-mx27uc-eye-care-monitor-1581411536.jpg,1,1
ASUS VA32UQ 31.5 INCH,0,COMPUTER VILLAGE,https://www.village-bd.com/asus-va32uq-31-5-inch,https://www.village-bd.com/uploads/product/list/asus-va32uq-315-hdr-4k-freesync-eye-care-monitor-1581412443.jpg,1,1
LG 16M37A 15.6 INCH LED MONITOR, 5200,COMPUTER VILLAGE,https://www.village-bd.com/lg-16m37a-15-6-inch-led-monitor,https://www.village-bd.com/uploads/product/list/lg-16m37a-15-6-inch-led-monitor.jpg,1,1
HP V194 18.5 INCH LED BACKLIGHT MONITOR, 5600,COMPUTER VILLAGE,https://www.village-bd.com/hp-v194-18-5-inch-led-backlight-monitor,https://www.village-bd.com/uploads/product/list/hp-v194-18-5-inch-led-backlight-monitor.jpg,1,1
PHILIPS 15.6-INCH 163V5LSB23 LED MONITOR, 6000,COMPUTER VILLAGE,https://www.village-bd.com/philips-15-6-inch-163v5lsb23-led-monitor,https://www.village-bd.com/uploads/product/list/philips-15-6-inch-163v5lsb23-led-monitor.jpg,1,1
