Product_Title,Price,Shop_Name,URL,Image_Url,Product_Code,Category_Id
APPLE MAGIC MOUSE2 , 7900,COMPUTER VILLAGE,https://www.village-bd.com/apple-magic-mouse2,https://www.village-bd.com/uploads/product/list/Apple Magic Mouse 2-2-500x500.jpg,1,1
FANTECH T532 WIRED MOUSE, 240,COMPUTER VILLAGE,https://www.village-bd.com/fantech-t532-wired-mouse,https://www.village-bd.com/uploads/product/list/fantech-t532-wired-mouse-1576729519.jpg,1,1
DELL OPTICAL MOUSE-MS116 BLACK, 300,COMPUTER VILLAGE,https://www.village-bd.com/dell-optical-mouse-ms116-black,https://www.village-bd.com/uploads/product/list/dell-optical-mouse-ms116-black.jpg,1,1
DELUX DLM-107BU USB OPTICAL MOUSE, 315,COMPUTER VILLAGE,https://www.village-bd.com/delux-dlm-107bu-usb-optical-mouse,https://www.village-bd.com/uploads/product/list/delux-dlm-107bu-usb-optical-mouse.jpg,1,1
DELUX DLM-105BU USB OPTICAL MOUSE, 315,COMPUTER VILLAGE,https://www.village-bd.com/delux-dlm-105bu-usb-optical-mouse,https://www.village-bd.com/uploads/product/list/DELUX DLM-105BU USB OPTICAL MOUSE.jpg,1,1
DELUX DLM-137BU USB OPTICAL MOUSE, 345,COMPUTER VILLAGE,https://www.village-bd.com/delux-dlm-137bu-usb-optical-mouse,https://www.village-bd.com/uploads/product/list/delux-dlm-137bu-usb-optical-mouse.jpg,1,1
A4 TECH OP-560NU USB OPTICAL MOUSE, 280,COMPUTER VILLAGE,https://www.village-bd.com/a4-tech-op-560nu-usb-optical-mouse,https://www.village-bd.com/uploads/product/list/a4-tech-op-560nu-usb-optical-mouse.jpg,1,1
A4 TECH OP-550NU USB OPTICAL MOUSE, 300,COMPUTER VILLAGE,https://www.village-bd.com/a4-tech-op-550nu-usb-optical-mouse,https://www.village-bd.com/uploads/product/list/a4-tech-op-550nu-usb-optical-mouse.jpg,1,1
LOGITECH B100 OPTICAL USB MOUSE, 400,COMPUTER VILLAGE,https://www.village-bd.com/logitech-b100-optical-usb-mouse,https://www.village-bd.com/uploads/product/list/logitech-b100-optical-usb-mouse.jpg,1,1
LOGITECH M90 USB CONTOURED SHAPE MOUSE, 400,COMPUTER VILLAGE,https://www.village-bd.com/logitech-m90-usb-contoured-shape-mouse,https://www.village-bd.com/uploads/product/list/logitech-m90-usb-contoured-shape-mouse.jpg,1,1
HP X500 WIRED MOUSE, 400,COMPUTER VILLAGE,https://www.village-bd.com/hp-x500-wired-mouse,https://www.village-bd.com/uploads/product/list/hp-x500-wired-mouse.jpg,1,1
DELUX DLM 133BU USB OPTICAL MOUSE, 420,COMPUTER VILLAGE,https://www.village-bd.com/delux-dlm-133bu-usb-optical-mouse,https://www.village-bd.com/uploads/product/list/delux-dlm-133bu-usb-optical-mouse.jpg,1,1
A4 TECH OP-620D USB OPTICAL MOUSE, 350,COMPUTER VILLAGE,https://www.village-bd.com/a4-tech-op-620d-usb-optical-mouse,https://www.village-bd.com/uploads/product/list/a4-tech-op-620d-usb-optical-mouse.jpg,1,1
HP X900 WIRED MOUSE, 500,COMPUTER VILLAGE,https://www.village-bd.com/hp-x900-wired-mouse,https://www.village-bd.com/uploads/product/list/hp-x900-wired-mouse.jpg,1,1
DLM- 107GX+G07UF WIRELESS MOUSE, 500,COMPUTER VILLAGE,https://www.village-bd.com/dlm--107gx-g07uf-wireless-mouse,https://www.village-bd.com/uploads/product/list/dlm--107gx-g07uf-wireless-mouse.jpg,1,1
A4 TECH G3-200N WIRELESS MOUSE, 550,COMPUTER VILLAGE,https://www.village-bd.com/a4-tech-g3-200n-wireless-mouse,https://www.village-bd.com/uploads/product/list/a4-tech-g3-200n-wireless-mouse.jpg,1,1
LOGITECH M105 USB WIRED MOUSE, 550,COMPUTER VILLAGE,https://www.village-bd.com/logitech-m105-usb-wired-mouse,https://www.village-bd.com/uploads/product/list/logitech-m105-usb-wired-mouse.jpg,1,1
A4TECH G3-300N V-TRACK WIRELESS MOUSE BLACK, 560,COMPUTER VILLAGE,https://www.village-bd.com/a4tech-g3-300n-v-track-wireless-mouse-black,https://www.village-bd.com/uploads/product/list/A4tech G3-300N A.jpg,1,1
A4TECH G3-280N WIRELESS MOUSE, 560,COMPUTER VILLAGE,https://www.village-bd.com/a4tech-g3-280n-wireless-mouse,https://www.village-bd.com/uploads/product/list/a4tech-g3-280n.jpg,1,1
A4 TECH G3-270 WHITE-GREEN WIRELESS MOUSE, 650,COMPUTER VILLAGE,https://www.village-bd.com/a4-tech-g3-270-white-green-wireless-mouse,https://www.village-bd.com/uploads/product/list/a4-tech-g3-270-white-green-wireless-mouse.jpg,1,1
GOLDEN FIELD MOUSE GF-M701W, 550,COMPUTER VILLAGE,https://www.village-bd.com/golden-field-mouse-gf-m701w,https://www.village-bd.com/uploads/product/list/GF-M701W.jpg,1,1
DELL WM126 WIRELESS OPTICAL MOUSE, 700,COMPUTER VILLAGE,https://www.village-bd.com/dell-wm126-wireless-optical-mouse,https://www.village-bd.com/uploads/product/list/DELL WM 126.jpg,1,1
FANTECH X7 BLAST RGB GAMING MOUSE, 800,COMPUTER VILLAGE,https://www.village-bd.com/fantech-x7-blast-rgb-gaming-mouse,https://www.village-bd.com/uploads/product/list/fantech-x7-blast-rgb-gaming-mouse-1577273381.jpg,1,1
LOGITECH B175 WIRELESS MOUSE, 925,COMPUTER VILLAGE,https://www.village-bd.com/logitech-b175-wireless-mouse,https://www.village-bd.com/uploads/product/list/Logitech B175 A.jpeg,1,1
LOGITECH WIRELESS MOUSE M170 BLACK, 850,COMPUTER VILLAGE,https://www.village-bd.com/logitech-wireless-mouse-m170-black,https://www.village-bd.com/uploads/product/list/Logitech M165 Wireless Plug-and-play Mouse.jpg,1,1
LOGITECH M-185 WIRELESS NANO RECEIVER MOUSE, 950,COMPUTER VILLAGE,https://www.village-bd.com/logitech-m-185-wireless-nano-receiver-mouse,https://www.village-bd.com/uploads/product/list/logitech-m-185-wireless-nano-receiver-mouse.jpg,1,1
HP X3000 WIRELESS MOUSE, 950,COMPUTER VILLAGE,https://www.village-bd.com/hp-x3000-wireless-mouse,https://www.village-bd.com/uploads/product/list/hp-x3000-wireless-mouse.jpg,1,1
LEXMA M236R 2.4GHZ CORDLESS MOUSE, 950,COMPUTER VILLAGE,https://www.village-bd.com/lexma-m236r-2-4ghz-cordless-mouse,https://www.village-bd.com/uploads/product/list/lexma-m236r-2-4ghz-cordless-mouse.jpg,1,1
LOGITECH M171 WIRELESS NANO-RECEIVER MOUSE, 900,COMPUTER VILLAGE,https://www.village-bd.com/logitech-m171-wireless-nano-receiver-mouse,https://www.village-bd.com/uploads/product/list/logitech-m171-wireless-nano-receiver-mouse.jpg,1,1
LOGITECH M187 WIRELESS EXTRA-SMALL MOUSE, 990,COMPUTER VILLAGE,https://www.village-bd.com/logitech-m187-wireless-extra-small-mouse,https://www.village-bd.com/uploads/product/list/logitech-m187-wireless-extra-small-mouse.jpg,1,1
WIRELESS MOUSE M185, 900,COMPUTER VILLAGE,https://www.village-bd.com/wireless-mouse-m185,https://www.village-bd.com/uploads/product/list/wireless-mouse-m185-1581748421.jpg,1,1
HP Z3700 WIRELESS MOUSE, 1000,COMPUTER VILLAGE,https://www.village-bd.com/hp-z3700-wireless-mouse,https://www.village-bd.com/uploads/product/list/hp-z3700-wireless-mouse.jpg,1,1
HP Z3600 WIRELESS MOUSE, 1100,COMPUTER VILLAGE,https://www.village-bd.com/hp-z3600-wireless-mouse,https://www.village-bd.com/uploads/product/list/hp-z3600-wireless-mouse.jpg,1,1
LOGITECH M221 SILENT WIRELESS MOUSE, 1150,COMPUTER VILLAGE,https://www.village-bd.com/logitech-m221-silent-wireless-mouse,https://www.village-bd.com/uploads/product/list/logitech-m221-silent-wireless-mouse.jpg,1,1
HP Z3200 WIRELESS OPTICAL MOUSE, 1200,COMPUTER VILLAGE,https://www.village-bd.com/hp-z3200-wireless-optical-mouse,https://www.village-bd.com/uploads/product/list/hp-z3200-wireless-optical-mouse.jpg,1,1
LOGITECH WIRELESS MOUSE M235, 1250,COMPUTER VILLAGE,https://www.village-bd.com/logitech-wireless-mouse-m235,https://www.village-bd.com/uploads/product/list/logitech-wireless-mouse-m235.jpg,1,1
FANTECH ZEUS X5S GAMING MOUSE, 1200,COMPUTER VILLAGE,https://www.village-bd.com/fantech-zeus-x5s-gaming-mouse,https://www.village-bd.com/uploads/product/list/fantech-zeus-x5s-gaming-mouse-1577261885.jpg,1,1
FANTECH X4S TITAN 7 BUTTON GAMING MOUSE, 1260,COMPUTER VILLAGE,https://www.village-bd.com/fantech-x4s-titan-7-button-gaming-mouse,https://www.village-bd.com/uploads/product/list/fantech-x4s-titan-7-button-gaming-mouse-1577704597.png,1,1
COUGAR MOUSE MINOS X2 3MMX2WOB.0001, 1400,COMPUTER VILLAGE,https://www.village-bd.com/cougar-mouse-minos-x2-3mmx2wob-0001,https://www.village-bd.com/uploads/product/list/cougar-mouse-minos-x2-3mmx2wob0001-1577346276.jpg,1,1
LOGITECH M238 WIRELESS MOUSE, 1600,COMPUTER VILLAGE,https://www.village-bd.com/logitech-m238-wireless-mouse,https://www.village-bd.com/uploads/product/list/logitech-m238-wireless-mouse.jpg,1,1
A4TECH BLOODY Q80 NEON X'GLIDE GAMING MOUSE, 1500,COMPUTER VILLAGE,https://www.village-bd.com/a4tech-bloody-q80-neon-x-glide-gaming-mouse,https://www.village-bd.com/uploads/product/list/Bloody Q80.jpg,1,1
GIGABYTE AORUS M2, 1500,COMPUTER VILLAGE,https://www.village-bd.com/gigabyte-aorus-m2,https://www.village-bd.com/uploads/product/list/gigabyte-aorus-m2-1580984412.jpg,1,1
GIGABYTE AMP500/MICE PAD/RUB/L/BLK, 1500,COMPUTER VILLAGE,https://www.village-bd.com/gigabyte-amp500-mice-pad-rub-l-blk,https://www.village-bd.com/uploads/product/list/gigabyte-amp500mice-padrublblk-1580986478.jpg,1,1
BLOODY A91 INFRARED MICRO SWITCH GAMING MOUSE, 1700,COMPUTER VILLAGE,https://www.village-bd.com/bloody-a91-infrared-micro-switch-gaming-mouse,https://www.village-bd.com/uploads/product/list/bloody-a91-infrared-micro-switch-gaming-mouse.jpg,1,1
A4 TECH BLOODY Q8181S NEON X GLIDE GAMING MOUSE & MOUSE PAD, 1700,COMPUTER VILLAGE,https://www.village-bd.com/a4-tech-bloody-q8181s-neon-x-glide-gaming-mouse-mouse-pad,https://www.village-bd.com/uploads/product/list/q8181s-A.jpg,1,1
A4 TECH Q5081S NEON X'GLIDE GAMING MOUSE & MOUSE PAD, 1700,COMPUTER VILLAGE,https://www.village-bd.com/a4-tech-q5081s-neon-x-glide-gaming-mouse-mouse-pad,https://www.village-bd.com/uploads/product/list/A4 Tech Q5081S Neon A.jpg,1,1
A4 TECH BLOODY V3M X’GLIDE MULTI-CORE GAMING MOUSE, 1700,COMPUTER VILLAGE,https://www.village-bd.com/a4-tech-bloody-v3m-xglide-multi-core-gaming-mouse,https://www.village-bd.com/uploads/product/list/A4 TECH V3M GAMING MOUSE.jpg,1,1
BLOODY A90 GAMING MOUSE, 1700,COMPUTER VILLAGE,https://www.village-bd.com/bloody-a90-gaming-mouse,https://www.village-bd.com/uploads/product/list/bloody-a90-gaming-mouse.jpg,1,1
HP Z4000 STAR WARS MOUSE, 2000,COMPUTER VILLAGE,https://www.village-bd.com/hp-z4000-star-wars-mouse,https://www.village-bd.com/uploads/product/list/hp-z4000-star-wars-mouse.jpg,1,1
LOGITECH G102 PRODIGY GAMING MOUSE 910-004846, 1900,COMPUTER VILLAGE,https://www.village-bd.com/logitech-g102-prodigy-gaming-mouse-910-004846,https://www.village-bd.com/uploads/product/list/logitech-g102-prodigy-gaming-mouse.jpg,1,1
CORSAIR HARPOON RGB GAMING MOUSE CH-9301011-AP, 2000,COMPUTER VILLAGE,https://www.village-bd.com/corsair-harpoon-rgb-gaming-mouse-ch-9301011-ap,https://www.village-bd.com/uploads/product/list/corsair-harpoon-rgb-gaming-mouse-ch-9301011-ap-1577277676.jpg,1,1
FANTECH DAREDEVIL X11 GAMING MOUSE, 2200,COMPUTER VILLAGE,https://www.village-bd.com/fantech-daredevil-x11-gaming-mouse,https://www.village-bd.com/uploads/product/list/fantech-daredevil-x11-gaming-mouse-1577274244.jpg,1,1
GIGABYTE AORUS M3, 2200,COMPUTER VILLAGE,https://www.village-bd.com/gigabyte-aorus-m3,https://www.village-bd.com/uploads/product/list/gigabyte-aorus-m3-1580986037.png,1,1
LOGITECH BLUETOOTH MOUSE M337 , 2500,COMPUTER VILLAGE,https://www.village-bd.com/logitech-bluetooth-mouse-m337,https://www.village-bd.com/uploads/product/list/Logitech Bluetooth Mouse M337.jpg,1,1
GIGABYTE AORUS M4, 2300,COMPUTER VILLAGE,https://www.village-bd.com/gigabyte-aorus-m4,https://www.village-bd.com/uploads/product/list/gigabyte-aorus-m4-1580985387.jpg,1,1
LOGITECH MK240 WIRELESS COMBO KEYBOARD, 2500,COMPUTER VILLAGE,https://www.village-bd.com/logitech-mk240-wireless-combo-keyboard,https://www.village-bd.com/uploads/product/list/logitech-mk240-wireless-combo-keyboard-1581752776.jpg,1,1
LOGITECH K380 BLUETOOTH MULTI-DEVICE KEYBOARD, 2890,COMPUTER VILLAGE,https://www.village-bd.com/logitech-k380-bluetooth-multi-device-keyboard,https://www.village-bd.com/uploads/product/list/logitech-k380-bluetooth-multi-device-keyboard-1581751768.jpg,1,1
COUGAR MOUSE MINOS X5 GAMING MOUSE 3MMX5WOB.0001, 3400,COMPUTER VILLAGE,https://www.village-bd.com/cougar-mouse-minos-x5-gaming-mouse-3mmx5wob-0001,https://www.village-bd.com/uploads/product/list/cougar-mouse-minos-x5-gaming-mouse-3mmx5wob0001-1577348837.jpg,1,1
LOGITECH G402 HYPERION FURY ULTRA-FAST FPS GAMING MOUSE 910-004070, 3500,COMPUTER VILLAGE,https://www.village-bd.com/logitech-g402-hyperion-fury-ultra-fast-fps-gaming-mouse-910-004070,https://www.village-bd.com/uploads/product/list/Logitech G402 Hyperion Fury Ultra-Fast.jpg,1,1
ASUS ROG GLADIUS GAMING MOUSE, 4400,COMPUTER VILLAGE,https://www.village-bd.com/asus-rog-gladius-gaming-mouse,https://www.village-bd.com/uploads/product/list/asus-rog-gladius-gaming-mouse-1561883775.jpg,1,1
DELL KM714 WIRELESS KEYBOARD AND MOUSE, 4300,COMPUTER VILLAGE,https://www.village-bd.com/dell-km714-wireless-keyboard-and-mouse,https://www.village-bd.com/uploads/product/list/Dell KM714 Wireless Keyboard & Mouse.jpg,1,1
