Product_Title,Price,Shop_Name,URL,Image_Url,Product_Code,Category_Id
A4TECH FG1010 WIRELESS KEYBOARD MOUSE COMBO,1450,STARTECH,https://www.startech.com.bd/a4tech-fg1010-keyboard-mouse-combo,https://www.startech.com.bd/image/cache/catalog/accessories/combo/a4-tech/fg1010-1-228x228.jpg,1,1
CORSAIR K95 RGB PLATINUM MECHANICAL GAMING KEYBOARD WITH CHERRY MX-SPEED KEY,16700,STARTECH,https://www.startech.com.bd/corsair-k95-rgb-platinum-mechanical-gaming-keyboard,https://www.startech.com.bd/image/cache/catalog/keyboard/corsair/k95/k95-228x228.jpg,1,1
CORSAIR STRAFE RGB MECHANICAL GAMING KEYBOARD WITH CHERRY MX SILENT,14000,STARTECH,https://www.startech.com.bd/corsair-strafe-mechanical-gaming-keyboard,https://www.startech.com.bd/image/cache/catalog/keyboard/corsair/strafe/strafe-3-228x228.jpg,1,1
GAMDIAS HERMES M1 7 COLOR MECHANICAL GAMING KEYBOARD,3500,STARTECH,https://www.startech.com.bd/gamdias-hermes-m1-keyboard,https://www.startech.com.bd/image/cache/catalog/keyboard/gamdias/hermes-m1/hermes-m1-1-228x228.jpg,1,1
GOLDEN FIELD GF-KM711W WIRELESS KEYBOARD MOUSE COMBO,850,STARTECH,https://www.startech.com.bd/golden-field-gf-km711w-wireless-combo,https://www.startech.com.bd/image/cache/catalog/keyboard/golden-field/gf-km711w/gf-km711w-1-228x228.jpg,1,1
KWG DRACO M1 RGB MECHANICAL GAMING KEYBOARD,3700,STARTECH,https://www.startech.com.bd/kwg-draco-m1-gaming-keyboard,https://www.startech.com.bd/image/cache/catalog/accessories/keboard/kwg/draco-m1/m1-1-228x228.jpg,1,1
RAZER CYNOSA CHROMA RGB MEMBRANE GAMING KEYBOARD,4900,STARTECH,https://www.startech.com.bd/razer-cynosa-chroma-keyboard,https://www.startech.com.bd/image/cache/catalog/razer-keyboard/cynosa-chroma/cynosa-chroma-1-228x228.jpg,1,1
CORSAIR K70 RGB RAPIDFIRE MECHANICAL GAMING KEYBOARD CHERRY MX-LOW PROFILE SPEED,15000,STARTECH,https://www.startech.com.bd/corsair-k70-rapidfire-mechanical-gaming-keyboard,https://www.startech.com.bd/image/cache/catalog/keyboard/corsair/k70-rapidfire/k70-rapidfire-228x228.jpg,1,1
GAMDIAS ARES P1 RGB GAMING KEYBOARD,2500,STARTECH,https://www.startech.com.bd/gamdias-ares-p1-rgb-keyboard,https://www.startech.com.bd/image/cache/catalog/keyboard/gamdias/ares-p1/ares-p1-228x228.jpg,1,1
RAZER BLACKWIDOW ELITE MECHANICAL GAMING KEYBOARD,11700,STARTECH,https://www.startech.com.bd/razer-blackwidow-elite-mechanical-gaming-keyboard,https://www.startech.com.bd/image/cache/catalog/keyboard/razer/razer-blackwidow-elite-html-228x228.jpg,1,1
STEELSERIES APEX 7 RGB MECHANICAL GAMING KEYBOARD,19990,STARTECH,https://www.startech.com.bd/steelseries-apex-7-mechanical-gaming-keyboard,https://www.startech.com.bd/image/cache/catalog/keyboard/steelseries/apex-7/apex-7-1-228x228.jpg,1,1
COUGAR PURI CHERRY MX BACKLIT MECHANICAL GAMING KEYBOARD,6200,STARTECH,https://www.startech.com.bd/cougar-puri-cherry-mx-mechanical-keyboard,https://www.startech.com.bd/image/cache/catalog/keyboard/cougar/puri-cherry-mx/puri-cherry-mx-01-228x228.jpg,1,1
GAMDIAS HERMES P1 RGB GAMING KEYBOARD,6650,STARTECH,https://www.startech.com.bd/gamdias-hermes-p1-keyboard,https://www.startech.com.bd/image/cache/catalog/accessories/keboard/gamdias/gamdias-p1-228x228.jpg,1,1
RAZER HUNTSMAN OPTO-MECHANICAL SWITCH KEYBOARD,11800,STARTECH,https://www.startech.com.bd/razer-huntsman,https://www.startech.com.bd/image/cache/catalog/keyboard/razer/huntsman/huntsman-main-228x228.jpg,1,1
GAMDIAS HERMES P2 RGB MECHANICAL GAMING KEYBOARD,5000,STARTECH,https://www.startech.com.bd/gamdias-hermes-p2-rgb-keyboard,https://www.startech.com.bd/image/cache/catalog/keyboard/gamdias/hermes-p2/hermes-p2-01-228x228.jpg,1,1
GAMDIAS HERMES P3 RGB MECHANICAL GAMING KEYBOARD,7100,STARTECH,https://www.startech.com.bd/gamdias-hermes-p3-gaming-keyboard,https://www.startech.com.bd/image/cache/catalog/Accessories/keyboard/gamdias/hermes-p3/hermes-p3-1-228x228.jpg,1,1
RAZER HUNTSMAN ELITE OPTO-MECHANICAL SWITCH GAMING KEYBOARD,19500,STARTECH,https://www.startech.com.bd/razer-huntsman-elite-keyboard,https://www.startech.com.bd/image/cache/catalog/keyboard/razer/huntsman/huntsman-elite-1-228x228.jpg,1,1
CORSAIR K68 RGB GAMING KEYBOARD CERRY MX-RED,7500,STARTECH,https://www.startech.com.bd/corsair-k68-mechanical-gaming-keyboard,https://www.startech.com.bd/image/cache/catalog/keyboard/corsair/k68/k68-228x228.jpg,1,1
CORSAIR K70 RGB MECHANICAL GAMING KEYBOARD CHERRY MX SPEED,15700,STARTECH,https://www.startech.com.bd/corsair-k70-mechanical-gaming-keyboard,https://www.startech.com.bd/image/cache/catalog/keyboard/corsair/k70/k70-228x228.jpg,1,1
GAMDIAS HERMES P1A MECHANICAL RGB GAMING KEYBOARD,5700,STARTECH,https://www.startech.com.bd/gamdias-hermes-p1a-gaming-keyboard,https://www.startech.com.bd/image/cache/catalog/Accessories/keyboard/gamdias/hermes-p1a/hermes-p1a-1-228x228.jpg,1,1
RAZER CYNOSA PRO RAZER DEATHADDER 2000 BUNDLE 3 COLORS LED GAMING KEYBOARD,5700,STARTECH,https://www.startech.com.bd/razer-cynosa-pro-keyboard-mouse-mouse,https://www.startech.com.bd/image/cache/catalog/Accessories/Razer/Keyboard/razer-cynosa-pro-razer-1-228x228.jpg,1,1
RAZER ORNATA CHROMA MULTI COLOR MEMBRANE GAMING KEYBOARD,7900,STARTECH,https://www.startech.com.bd/razer-ornata-chroma-multi-color-membran,https://www.startech.com.bd/image/cache/catalog/keyboard/razer/razer-ornata-chroma/razer-ornata-chroma-1-228x228.jpg,1,1
GAMDIAS ARES M1 COMBO KEYBOARD MOUSE,2300,STARTECH,https://www.startech.com.bd/ares-m1-combo,https://www.startech.com.bd/image/cache/catalog/keyboard/gamdias/ares-m1-combo/ares-m1-combo-228x228.jpg,1,1
RAZER BLACKWIDOW ULTIMATE 2017 MECHANICAL GAMING KEYBOARD,9900,STARTECH,https://www.startech.com.bd/razer-blackwidow-ultimate-gaming-keyboard,https://www.startech.com.bd/image/cache/catalog/razer-keyboard/blackwidow-ultimate/razer-blackwidow-ultimate-228x228.jpg,1,1
GAMDIAS POSEIDON E1 COMBO KEYBOARD, MOUSE AND HEADPHONE,2000,STARTECH,https://www.startech.com.bd/gamdias-poseidon-e1-combo-mouse-keyboard-headphone,https://www.startech.com.bd/image/cache/catalog/keyboard/gamdias/e1-combo/combo-e1-228x228.jpg,1,1
RAPOO E6700 BLUETOOTH ULTRA-SLIM KEYBOARD WITH TOUCHPAD,4000,STARTECH,https://www.startech.com.bd/rapoo-e6700-bluetooth-keyboard-touchpad,https://www.startech.com.bd/image/cache/catalog/keyboard/rapoo/e6700/e6700-1-228x228.jpg,1,1
RAPOO E9270P WIRELESS ULTRA-SLIM TOUCH KEYBOARD,4000,STARTECH,https://www.startech.com.bd/rapoo-e9270p-wireless-touch-keyboard,https://www.startech.com.bd/image/cache/catalog/keyboard/rapoo/e9270p/e9270p-228x228.jpg,1,1
RAZER BLACKWIDOW X CHROMA MULTI COLOR MECHANICAL GAMING KEYBOARD,12000,STARTECH,https://www.startech.com.bd/razer-blackwidow-x-chroma-multi-color-mechanical,https://www.startech.com.bd/image/cache/catalog/Accessories/Razer/Keyboard/Razer BlackWidow X Chroma-Multi-color Mechanical-1-228x228.jpg,1,1
